id,name,category,price_tier,neighborhood,opening_hours,avg_rating,good_for_kids
84,Cafe Delight,Chinese,Cheap,Bronx,16:43,3.14,false
85,Cafe Delight,Indian,Medium,Staten Island,12:42,3.8,true
86,La Petite Boulangerie,French,Cheap,Bronx,21:00,3.08,true
87,The Spice Route,Italian,Expensive,Bronx,4:35,2.64,true
88,The Golden Rooster,Japanese,Medium,Manhattan,18:39,3.99,true
89,Mama Mia Pizzeria,Spanish,Expensive,Bronx,22:31,4.88,false
90,Sushi Paradise,Chinese,Expensive,Manhattan,0:41,2.09,true
91,Sushi Paradise,Indian,Cheap,Manhattan,15:59,3.27,true
92,Mama Mia Pizzeria,Thai,Cheap,Queens,18:33,4.07,true
93,Bella Italia,Thai,Cheap,Queens,8:43,1.95,false
94,La Petite Boulangerie,Chinese,Cheap,Bronx,16:42,4.59,false
95,La Petite Boulangerie,Mexican,Medium,Brooklyn,15:54,3.32,false
96,La Petite Boulangerie,Italian,Cheap,Bronx,19:23,2.26,true
97,La Petite Boulangerie,Japanese,Cheap,Queens,10:36,4.75,false
98,Sushi Paradise,Greek,Expensive,Brooklyn,20:24,3.44,true
99,The Rustic Tavern,Thai,Cheap,Brooklyn,14:28,1.59,false
100,The Golden Rooster,Italian,Cheap,Bronx,22:28,3.25,false
101,The Golden Rooster,Spanish,Medium,Brooklyn,6:42,4.67,false
102,The Rustic Tavern,Indian,Cheap,Brooklyn,12:51,2.79,true
103,Cafe Delight,Japanese,Medium,Staten Island,3:46,4.1,false
104,Mama Mia Pizzeria,Mexican,Medium,Brooklyn,21:47,3.11,false
105,The Hungry Spoon,Greek,Expensive,Manhattan,8:14,3.31,true
106,The Golden Rooster,Thai,Expensive,Queens,19:00,1.83,true
107,The Cozy Corner,Greek,Expensive,Brooklyn,13:31,4.76,true
108,Cafe Delight,Indian,Expensive,Staten Island,19:59,4.06,false
109,Sushi Paradise,Mexican,Medium,Bronx,19:46,3.35,true
110,Sushi Paradise,Mexican,Expensive,Staten Island,8:59,3.84,true
111,The Spice Route,Thai,Expensive,Staten Island,0:41,4.32,true
112,La Petite Boulangerie,Indian,Expensive,Staten Island,17:55,2.76,true
113,The Spice Route,Korean,Medium,Staten Island,7:18,2.71,false
114,Sushi Paradise,Spanish,Medium,Bronx,2:49,1.34,true
115,The Rustic Tavern,Chinese,Medium,Manhattan,4:23,2.29,true
116,Mama Mia Pizzeria,Greek,Expensive,Bronx,17:16,2.8,false
117,The Rustic Tavern,Indian,Cheap,Manhattan,18:02,1.69,false
118,The Hungry Spoon,Spanish,Medium,Bronx,18:51,1.51,true
119,La Petite Boulangerie,Greek,Expensive,Brooklyn,10:08,4.23,false
120,Bella Italia,Greek,Medium,Manhattan,13:27,1.61,false
121,Sushi Paradise,Chinese,Expensive,Bronx,9:14,3.39,true
122,Sushi Paradise,Greek,Cheap,Brooklyn,8:32,4.3,true
123,The Rustic Tavern,Indian,Cheap,Queens,7:17,4.22,true
124,The Rustic Tavern,Spanish,Expensive,Bronx,9:22,2.12,false
125,La Petite Boulangerie,French,Expensive,Staten Island,9:14,1.64,true
126,Cafe Delight,Thai,Cheap,Bronx,14:46,4.19,false
127,Bella Italia,Italian,Cheap,Queens,14:51,4.34,false
128,Cafe Delight,Chinese,Cheap,Brooklyn,16:37,3.05,false
129,The Golden Rooster,Korean,Medium,Brooklyn,23:06,4.64,true
130,The Cozy Corner,Thai,Cheap,Manhattan,23:57,4.17,true
131,Sushi Paradise,Thai,Medium,Manhattan,1:17,4.77,false
132,The Cozy Corner,Japanese,Expensive,Queens,7:24,4.41,false
133,The Hungry Spoon,French,Cheap,Staten Island,10:01,4.34,false
134,The Golden Rooster,Italian,Cheap,Queens,21:46,3.28,true
135,Cafe Delight,French,Cheap,Brooklyn,5:30,2.33,true
136,The Golden Rooster,Korean,Expensive,Manhattan,14:34,1.2,true
137,The Spice Route,Italian,Expensive,Bronx,3:28,1.51,true
138,Mama Mia Pizzeria,Indian,Cheap,Queens,15:22,4.41,true
139,La Petite Boulangerie,Mexican,Cheap,Staten Island,1:10,1.33,true
140,Cafe Delight,Italian,Expensive,Bronx,9:59,3.11,true
141,The Golden Rooster,Korean,Cheap,Brooklyn,17:54,4.12,false
142,Sushi Paradise,Italian,Expensive,Queens,8:12,3.32,false
143,The Cozy Corner,Thai,Cheap,Brooklyn,5:16,2.59,true
144,The Golden Rooster,Chinese,Cheap,Manhattan,10:22,4.63,false
145,Mama Mia Pizzeria,Korean,Medium,Manhattan,20:08,3.42,true
146,The Cozy Corner,Spanish,Expensive,Queens,9:51,2.56,true
147,The Spice Route,Thai,Expensive,Brooklyn,20:15,4.55,false
148,Bella Italia,Japanese,Medium,Queens,8:11,4.33,false
149,Mama Mia Pizzeria,French,Cheap,Bronx,14:40,3.39,true
150,The Golden Rooster,Chinese,Cheap,Staten Island,4:54,4.95,false
151,Sushi Paradise,Mexican,Expensive,Manhattan,21:53,2.29,true
152,Cafe Delight,Mexican,Cheap,Manhattan,13:55,1.91,true
153,The Cozy Corner,Korean,Medium,Bronx,16:37,3.3,false
154,Mama Mia Pizzeria,Spanish,Cheap,Staten Island,15:30,4.96,true
155,The Spice Route,Spanish,Expensive,Staten Island,6:51,3.55,true
156,The Rustic Tavern,Thai,Cheap,Bronx,10:00,1.01,false
157,Cafe Delight,Indian,Medium,Staten Island,17:41,3.66,false
158,The Cozy Corner,Chinese,Expensive,Manhattan,22:51,4.38,true
159,The Spice Route,Chinese,Expensive,Brooklyn,20:33,2.97,false
160,Bella Italia,Thai,Cheap,Staten Island,0:05,1.24,false
161,The Cozy Corner,Indian,Cheap,Brooklyn,14:52,2.31,false
162,The Golden Rooster,Chinese,Cheap,Bronx,20:19,2.02,true
163,The Spice Route,Thai,Expensive,Brooklyn,19:15,2.9,true
164,Sushi Paradise,Japanese,Expensive,Queens,12:08,4.33,true
165,The Cozy Corner,Thai,Cheap,Brooklyn,21:45,2.33,true
166,The Spice Route,French,Expensive,Queens,1:02,2.46,true
167,The Hungry Spoon,Greek,Medium,Manhattan,10:58,2.05,false
168,The Spice Route,Japanese,Medium,Brooklyn,23:13,4.53,true
169,Bella Italia,Spanish,Cheap,Brooklyn,4:25,4.14,false
170,The Hungry Spoon,Indian,Medium,Bronx,22:02,4.2,false
171,The Spice Route,Italian,Expensive,Manhattan,9:23,4.24,true
172,Mama Mia Pizzeria,Mexican,Cheap,Staten Island,10:05,2.33,false
173,Sushi Paradise,French,Cheap,Queens,10:06,3.75,false
174,Sushi Paradise,Mexican,Expensive,Bronx,14:09,4.4,true
175,Mama Mia Pizzeria,Mexican,Cheap,Manhattan,19:19,1.21,true
176,Sushi Paradise,French,Cheap,Brooklyn,5:37,2.09,false
177,La Petite Boulangerie,Greek,Expensive,Staten Island,7:04,3.87,false
178,The Hungry Spoon,French,Cheap,Queens,18:50,1.04,true
179,The Cozy Corner,Korean,Cheap,Manhattan,7:42,1.36,false
180,Sushi Paradise,Chinese,Expensive,Manhattan,5:49,1.9,true
181,The Hungry Spoon,Chinese,Medium,Staten Island,0:51,2.17,true
182,The Cozy Corner,Chinese,Expensive,Manhattan,2:44,4.85,true
183,The Cozy Corner,French,Cheap,Queens,0:08,1.45,true
184,The Golden Rooster,Korean,Cheap,Queens,12:20,3.6,true
185,Sushi Paradise,Italian,Medium,Bronx,12:03,2.75,false
186,The Golden Rooster,Indian,Expensive,Bronx,14:45,1.41,false
187,The Spice Route,Japanese,Expensive,Staten Island,17:19,3.7,true
188,Bella Italia,Chinese,Medium,Queens,13:24,3.17,false
189,Mama Mia Pizzeria,Mexican,Medium,Bronx,18:57,1.54,true
190,The Cozy Corner,Chinese,Medium,Manhattan,3:15,3.9,false
191,The Hungry Spoon,Spanish,Cheap,Manhattan,8:29,1.86,true
192,Sushi Paradise,Japanese,Medium,Manhattan,0:49,4.4,true
193,The Rustic Tavern,Indian,Medium,Brooklyn,23:45,4.88,true
194,La Petite Boulangerie,Greek,Medium,Staten Island,10:13,1.52,false
195,The Cozy Corner,Japanese,Expensive,Staten Island,14:53,3.16,true
196,The Golden Rooster,Italian,Cheap,Brooklyn,0:31,4.88,false
197,Sushi Paradise,Mexican,Expensive,Bronx,11:16,3.83,false
198,The Spice Route,Mexican,Expensive,Manhattan,16:27,3.5,true
199,The Spice Route,Spanish,Expensive,Manhattan,15:12,4.5,true
200,The Spice Route,Italian,Cheap,Brooklyn,13:09,2.02,true
201,The Rustic Tavern,Thai,Cheap,Staten Island,12:41,4.66,true
202,Cafe Delight,Greek,Medium,Manhattan,18:11,3.06,false
203,Bella Italia,Italian,Expensive,Manhattan,5:42,4.21,true
204,Sushi Paradise,Spanish,Cheap,Queens,23:00,3.33,false
205,Bella Italia,Spanish,Expensive,Bronx,11:19,3.95,true
206,Bella Italia,Chinese,Expensive,Queens,17:19,3.16,true
207,The Cozy Corner,Korean,Cheap,Queens,21:34,2.64,false
208,La Petite Boulangerie,Greek,Medium,Staten Island,18:13,4.52,false
209,Cafe Delight,Mexican,Cheap,Queens,4:17,1.14,true
210,Bella Italia,Indian,Expensive,Manhattan,0:02,1.82,true
211,Sushi Paradise,Greek,Cheap,Brooklyn,9:14,3.37,true
212,The Cozy Corner,Indian,Cheap,Staten Island,19:32,3.66,false
213,Cafe Delight,Italian,Cheap,Manhattan,2:47,4.69,true
214,The Spice Route,Thai,Expensive,Brooklyn,0:36,1.07,false
215,Bella Italia,Korean,Expensive,Queens,4:26,4.7,true
216,Cafe Delight,Japanese,Cheap,Bronx,7:32,4.02,false
217,The Spice Route,Greek,Medium,Bronx,19:08,2.83,true
218,La Petite Boulangerie,Korean,Medium,Brooklyn,5:46,1.73,false
219,La Petite Boulangerie,Korean,Medium,Staten Island,11:46,3.21,true
220,Sushi Paradise,Chinese,Cheap,Bronx,23:34,1.47,false
221,Mama Mia Pizzeria,Korean,Cheap,Staten Island,8:20,3.8,false
222,The Rustic Tavern,Spanish,Expensive,Queens,23:20,4.01,true
223,The Rustic Tavern,Japanese,Cheap,Staten Island,21:09,4.63,false
224,The Cozy Corner,French,Cheap,Queens,8:07,1.92,false
225,Mama Mia Pizzeria,Thai,Expensive,Bronx,13:26,2.78,false
226,Mama Mia Pizzeria,Thai,Cheap,Bronx,9:09,2.71,false
227,The Rustic Tavern,Chinese,Medium,Manhattan,23:42,3.87,true
228,The Golden Rooster,Spanish,Medium,Brooklyn,2:12,1.22,true
229,The Hungry Spoon,Italian,Cheap,Queens,10:29,1.66,false
230,Cafe Delight,Japanese,Cheap,Staten Island,4:30,1.47,false
231,Mama Mia Pizzeria,Japanese,Medium,Brooklyn,23:50,2.51,true
232,La Petite Boulangerie,Thai,Cheap,Manhattan,19:41,4.94,false
233,Mama Mia Pizzeria,Italian,Expensive,Brooklyn,3:39,4.52,false
234,Bella Italia,French,Expensive,Queens,4:20,3.13,false
235,La Petite Boulangerie,Greek,Expensive,Staten Island,12:52,4.48,false
236,The Spice Route,Korean,Cheap,Queens,21:58,3.97,false
237,Cafe Delight,Spanish,Expensive,Manhattan,14:45,2.33,true
238,Bella Italia,Indian,Expensive,Bronx,3:09,4.44,false
239,La Petite Boulangerie,Spanish,Expensive,Queens,20:06,1.33,true
240,The Rustic Tavern,Mexican,Medium,Manhattan,1:31,1.23,true
241,La Petite Boulangerie,Korean,Medium,Staten Island,17:22,3.33,true
242,The Golden Rooster,Thai,Medium,Brooklyn,19:18,2.53,false
243,Sushi Paradise,French,Medium,Manhattan,18:15,4.64,true
244,The Hungry Spoon,French,Cheap,Bronx,4:29,3.59,true
245,The Golden Rooster,Spanish,Cheap,Brooklyn,10:12,1.85,true
246,La Petite Boulangerie,Japanese,Expensive,Bronx,16:08,1.4,true
247,The Hungry Spoon,Japanese,Expensive,Queens,15:31,4.41,false
248,The Cozy Corner,Greek,Cheap,Manhattan,16:56,1.53,true
249,The Golden Rooster,Thai,Expensive,Manhattan,18:27,1.95,false
250,La Petite Boulangerie,Greek,Cheap,Queens,6:36,1.65,false
251,The Golden Rooster,Chinese,Cheap,Bronx,11:06,1.87,true
252,Sushi Paradise,Greek,Medium,Manhattan,9:42,1.59,true
253,The Rustic Tavern,Indian,Cheap,Brooklyn,22:47,2.47,true
254,The Cozy Corner,Thai,Cheap,Bronx,21:54,2.24,false
255,The Spice Route,French,Medium,Manhattan,7:42,1.93,false
256,The Cozy Corner,Spanish,Cheap,Bronx,6:56,3.44,false
257,Mama Mia Pizzeria,Thai,Medium,Queens,4:42,1.24,true
258,Bella Italia,Japanese,Cheap,Staten Island,16:26,4.74,false
259,Bella Italia,Thai,Medium,Queens,9:38,3.5,true
260,The Cozy Corner,Korean,Expensive,Brooklyn,4:43,2.02,true
261,La Petite Boulangerie,Greek,Medium,Brooklyn,4:16,2.51,false
262,The Golden Rooster,Korean,Medium,Manhattan,21:06,2.7,true
263,La Petite Boulangerie,Greek,Expensive,Queens,3:35,3.94,false
264,The Spice Route,French,Expensive,Bronx,1:13,2.22,false
265,Bella Italia,Chinese,Cheap,Staten Island,4:17,3.89,false
266,Cafe Delight,Greek,Cheap,Manhattan,9:29,4.21,false
267,The Rustic Tavern,Mexican,Medium,Bronx,11:48,4.78,false
268,Cafe Delight,Greek,Medium,Brooklyn,10:23,2.58,true
269,Sushi Paradise,Thai,Cheap,Manhattan,0:49,3.05,true
270,The Rustic Tavern,Greek,Cheap,Bronx,13:24,4.78,false
271,Cafe Delight,Chinese,Medium,Manhattan,16:48,3.67,true
272,Sushi Paradise,Spanish,Medium,Brooklyn,10:49,1.06,true
273,Sushi Paradise,French,Medium,Staten Island,9:49,2.64,false
274,La Petite Boulangerie,French,Cheap,Brooklyn,20:26,1.77,true
275,The Cozy Corner,French,Medium,Queens,5:25,1.92,false
276,The Cozy Corner,Korean,Expensive,Queens,5:44,3.65,false
277,The Spice Route,Japanese,Expensive,Queens,4:01,4.39,false
278,Bella Italia,Japanese,Medium,Queens,17:22,3.46,true
279,The Hungry Spoon,Spanish,Cheap,Brooklyn,5:19,1.82,true
280,The Rustic Tavern,Italian,Expensive,Queens,5:26,2.5,false
281,Cafe Delight,Indian,Cheap,Queens,21:45,3.47,false
282,Mama Mia Pizzeria,Indian,Medium,Staten Island,3:28,3.43,false
283,Cafe Delight,Korean,Medium,Brooklyn,21:57,4.01,true
284,The Rustic Tavern,Chinese,Medium,Bronx,21:53,4.66,true
285,The Hungry Spoon,Thai,Medium,Bronx,9:17,2.0,false
286,The Hungry Spoon,Korean,Expensive,Queens,3:35,3.11,true
287,The Hungry Spoon,Korean,Medium,Bronx,1:40,2.33,true
288,Sushi Paradise,French,Expensive,Manhattan,9:53,4.56,true
289,Mama Mia Pizzeria,Italian,Cheap,Bronx,8:41,1.73,true
290,The Golden Rooster,Chinese,Expensive,Brooklyn,17:37,2.28,false
291,The Rustic Tavern,Japanese,Expensive,Staten Island,8:21,2.96,true
292,The Hungry Spoon,Indian,Cheap,Brooklyn,8:12,2.49,false
293,Cafe Delight,Korean,Expensive,Manhattan,7:39,1.78,true
294,The Cozy Corner,Spanish,Cheap,Queens,9:32,1.78,true
295,Bella Italia,Korean,Cheap,Queens,16:11,3.62,false
296,Sushi Paradise,Greek,Expensive,Bronx,13:49,2.15,true
297,Sushi Paradise,Mexican,Cheap,Brooklyn,16:05,3.7,false
298,The Cozy Corner,Mexican,Cheap,Staten Island,23:41,4.4,true
299,The Golden Rooster,Mexican,Expensive,Bronx,22:08,2.88,true
300,The Cozy Corner,Italian,Expensive,Queens,4:27,2.94,false
301,The Spice Route,Chinese,Expensive,Staten Island,8:10,1.3,false
302,Mama Mia Pizzeria,Italian,Medium,Manhattan,7:52,1.76,true
303,The Hungry Spoon,Japanese,Cheap,Brooklyn,1:39,2.01,true
304,Sushi Paradise,Indian,Medium,Brooklyn,20:44,3.03,true
305,Sushi Paradise,Thai,Expensive,Brooklyn,15:06,3.98,true
306,Bella Italia,Korean,Medium,Brooklyn,16:48,4.92,true
307,La Petite Boulangerie,French,Medium,Brooklyn,6:39,3.67,true
308,The Hungry Spoon,Spanish,Medium,Brooklyn,15:37,2.34,false
309,The Spice Route,Korean,Expensive,Queens,22:47,4.39,false
310,The Cozy Corner,Korean,Expensive,Bronx,20:44,4.33,true
311,The Rustic Tavern,Spanish,Medium,Manhattan,18:18,2.88,true
312,The Cozy Corner,Thai,Medium,Bronx,17:30,2.66,true
313,The Golden Rooster,Korean,Medium,Staten Island,1:56,3.58,false
314,Sushi Paradise,Italian,Medium,Staten Island,14:36,2.01,true
315,Cafe Delight,Spanish,Expensive,Bronx,10:37,3.41,true
316,Sushi Paradise,Mexican,Medium,Bronx,3:04,2.15,false
317,Cafe Delight,Spanish,Cheap,Bronx,20:08,1.42,true
318,La Petite Boulangerie,Indian,Cheap,Staten Island,15:41,1.48,false
319,Bella Italia,Chinese,Expensive,Staten Island,18:40,2.56,true
320,The Spice Route,Mexican,Expensive,Brooklyn,9:05,2.52,false
321,Sushi Paradise,Mexican,Expensive,Manhattan,11:56,2.06,false
322,The Spice Route,Greek,Medium,Staten Island,15:20,4.47,false
323,Mama Mia Pizzeria,Thai,Expensive,Manhattan,5:40,4.34,true
324,The Spice Route,Japanese,Cheap,Brooklyn,14:49,2.95,false
325,La Petite Boulangerie,Chinese,Expensive,Queens,22:26,4.59,false
326,The Hungry Spoon,Italian,Expensive,Bronx,16:18,2.96,true
327,Sushi Paradise,Japanese,Medium,Queens,22:59,4.94,false
328,Sushi Paradise,Thai,Cheap,Manhattan,5:57,4.19,false
329,Mama Mia Pizzeria,Korean,Cheap,Staten Island,20:36,4.36,true
330,Mama Mia Pizzeria,Chinese,Medium,Manhattan,20:44,2.85,false
331,The Golden Rooster,French,Medium,Queens,11:06,1.06,false
332,Mama Mia Pizzeria,French,Medium,Brooklyn,0:34,3.17,false
333,The Rustic Tavern,Mexican,Expensive,Queens,23:32,3.06,true
334,The Golden Rooster,Japanese,Medium,Manhattan,20:08,1.67,false
335,Mama Mia Pizzeria,Greek,Cheap,Staten Island,7:13,2.54,true
336,The Cozy Corner,Italian,Cheap,Staten Island,11:48,4.88,false
337,The Cozy Corner,Italian,Cheap,Bronx,18:49,3.25,false
338,Sushi Paradise,Chinese,Expensive,Queens,7:34,1.92,false
339,The Golden Rooster,Greek,Expensive,Queens,8:32,4.96,false
340,Cafe Delight,Chinese,Expensive,Manhattan,14:30,1.48,true
341,The Golden Rooster,Thai,Expensive,Bronx,16:12,3.83,true
342,The Spice Route,Italian,Medium,Queens,3:12,3.71,false
343,The Cozy Corner,Greek,Medium,Bronx,20:33,2.14,true
344,Cafe Delight,Korean,Expensive,Bronx,11:20,2.58,true
345,La Petite Boulangerie,Mexican,Cheap,Bronx,13:11,2.49,true
346,The Golden Rooster,Korean,Cheap,Queens,13:41,1.94,true
347,The Cozy Corner,Thai,Expensive,Manhattan,10:23,4.76,true
348,The Golden Rooster,Japanese,Cheap,Queens,4:57,1.55,false
349,La Petite Boulangerie,Greek,Cheap,Staten Island,2:58,4.5,false
350,The Golden Rooster,Thai,Expensive,Bronx,1:06,3.42,true
351,The Hungry Spoon,Thai,Cheap,Staten Island,17:09,1.16,false
352,Cafe Delight,French,Cheap,Bronx,1:33,3.44,true
353,Cafe Delight,Mexican,Cheap,Bronx,22:27,2.0,false
354,Mama Mia Pizzeria,Italian,Medium,Manhattan,4:40,1.28,false
355,Bella Italia,Italian,Cheap,Queens,10:52,3.08,true
356,The Golden Rooster,Chinese,Expensive,Brooklyn,20:11,4.03,true
357,Mama Mia Pizzeria,Greek,Cheap,Brooklyn,13:22,3.96,false
358,The Spice Route,Korean,Medium,Staten Island,20:35,4.58,true
359,Bella Italia,Greek,Cheap,Brooklyn,18:14,1.91,false
360,The Golden Rooster,French,Cheap,Staten Island,3:38,4.16,false
361,La Petite Boulangerie,Korean,Cheap,Queens,19:36,3.35,true
362,The Hungry Spoon,French,Expensive,Bronx,0:46,2.67,false
363,The Golden Rooster,Chinese,Expensive,Brooklyn,22:30,3.02,true
364,The Golden Rooster,Japanese,Cheap,Bronx,23:11,4.86,false
365,The Rustic Tavern,Korean,Medium,Manhattan,1:19,3.26,false
366,The Spice Route,Indian,Cheap,Staten Island,2:07,1.62,false
367,The Golden Rooster,Korean,Cheap,Queens,7:51,2.92,true
368,Sushi Paradise,Korean,Expensive,Manhattan,23:21,3.65,true
369,The Golden Rooster,Spanish,Cheap,Queens,19:30,3.39,true
370,Sushi Paradise,French,Expensive,Manhattan,14:24,3.47,false
371,Sushi Paradise,Spanish,Medium,Bronx,23:12,1.15,true
372,The Cozy Corner,French,Cheap,Queens,21:06,2.18,true
373,Sushi Paradise,Italian,Medium,Manhattan,19:24,2.71,false
374,Sushi Paradise,Indian,Cheap,Brooklyn,1:06,4.73,false
375,Mama Mia Pizzeria,Spanish,Medium,Brooklyn,8:38,2.75,false
376,La Petite Boulangerie,Indian,Medium,Queens,21:20,3.43,false
377,The Cozy Corner,Spanish,Expensive,Bronx,20:05,4.32,false
378,The Rustic Tavern,Thai,Expensive,Staten Island,1:56,2.26,true
379,The Cozy Corner,Italian,Cheap,Staten Island,8:14,3.8,true
380,The Golden Rooster,Korean,Medium,Staten Island,12:39,4.95,true
381,La Petite Boulangerie,Mexican,Medium,Brooklyn,7:44,2.03,true
382,The Rustic Tavern,Greek,Cheap,Staten Island,15:34,1.99,true
383,Sushi Paradise,Thai,Cheap,Queens,13:46,3.28,true
384,The Rustic Tavern,Thai,Cheap,Manhattan,20:38,3.34,false
385,The Rustic Tavern,French,Cheap,Staten Island,0:25,1.98,true
386,The Golden Rooster,Indian,Cheap,Bronx,23:17,1.47,true
387,The Spice Route,Mexican,Expensive,Brooklyn,1:53,1.84,true
388,Cafe Delight,Italian,Medium,Manhattan,20:54,2.62,true
389,The Spice Route,Italian,Expensive,Staten Island,7:50,3.7,true
